Date,Price,Open,High,Low,Vol,Change
2014-11-18,74.61,75.49,76.44,74.12,186.21K,-1.36%
2014-11-17,75.64,75.93,76.18,74.71,279.46K,-0.24%
2014-11-14,75.82,74.36,76.3,73.25,355.25K,2.17%
2014-11-13,74.21,76.95,77.16,74.07,447.01K,-3.85%
2014-11-12,77.18,77.5,78.08,76.63,359.95K,-0.98%
2014-11-11,77.94,77.18,78.04,76.42,314.31K,0.70%
2014-11-10,77.4,78.5,79.85,77.13,319.49K,-1.59%
2014-11-07,78.65,77.86,79.41,77.47,306.08K,0.95%
2014-11-06,77.91,78.87,78.98,77.12,292.90K,-0.98%
2014-11-05,78.68,77.36,79.35,76.46,447.69K,1.93%
2014-11-04,77.19,78.22,78.41,75.84,432.76K,-2.02%
2014-11-03,78.78,80.59,80.98,78.08,386.05K,-2.19%
2014-10-31,80.54,81.04,81.27,79.55,294.18K,-0.71%
2014-10-30,81.12,81.93,82.09,80.72,270.07K,-1.31%
2014-10-29,82.2,81.55,82.88,81.44,283.76K,0.96%
2014-10-28,81.42,80.64,81.66,80.36,226.07K,0.52%
2014-10-27,81,81.27,81.29,79.44,285.33K,-0.01%
2014-10-24,81.01,81.95,81.95,80.36,272.51K,-1.32%
2014-10-23,82.09,80.42,82.37,80.05,354.84K,1.95%
2014-10-22,80.52,82.55,83.15,80.22,352.22K,-2.77%
2014-10-21,82.81,82.76,84.05,82.29,23.44K,0.12%
2014-10-20,82.71,83.13,83.48,81.55,83.70K,-0.05%
2014-10-17,82.75,83.18,84.45,82.44,174.14K,0.06%
2014-10-16,82.7,81.06,84.83,79.78,424.52K,1.12%
2014-10-15,81.78,82.32,82.45,80.01,487.72K,-0.07%
2014-10-14,81.84,84.98,85.6,81.32,475.83K,-4.55%
2014-10-13,85.74,85.2,85.87,84.07,292.35K,-0.09%
2014-10-10,85.82,84.39,86.29,83.59,396.53K,0.06%
2014-10-09,85.77,87.73,87.95,84.06,345.02K,-1.76%
2014-10-08,87.31,88.43,88.63,86.83,373.75K,-1.73%
2014-10-07,88.85,90.45,90.57,88.38,300.11K,-1.65%
2014-10-06,90.34,89.77,90.74,88.76,276.61K,0.67%
2014-10-03,89.74,91.38,91.79,89.36,342.80K,-1.40%
2014-10-02,91.01,90.74,91.54,88.18,449.55K,0.31%
2014-10-01,90.73,91.36,92.96,90.47,389.25K,-0.47%
2014-09-30,91.16,94.34,94.9,90.86,429.25K,-3.61%
2014-09-29,94.57,93.35,94.64,92.74,261.25K,1.10%
2014-09-26,93.54,92.47,93.86,92.23,258.89K,1.09%
2014-09-25,92.53,92.89,93.54,92.05,248.85K,-0.29%
2014-09-24,92.8,91.72,93.29,91.12,282.63K,1.35%
2014-09-23,91.56,90.7,92.09,90.58,247.77K,0.04%
2014-09-22,91.52,92.22,92.64,91.2,23.94K,-0.96%
2014-09-19,92.41,92.97,93.22,91.85,92.78K,-0.71%
2014-09-18,93.07,93.97,94.82,92.85,170.77K,-1.43%
2014-09-17,94.42,94.71,95.06,93.74,305.83K,-0.48%
2014-09-16,94.88,92.81,95.19,92.46,294.72K,2.11%
2014-09-15,92.92,92.13,93.03,90.63,260.51K,0.70%
2014-09-12,92.27,93.05,93.67,91.96,297.77K,-0.60%
2014-09-11,92.83,91.71,93.44,90.43,403.18K,1.27%
2014-09-10,91.67,92.79,93.03,91.22,295.31K,-1.16%
2014-09-09,92.75,93.11,93.94,92.52,275.88K,0.10%
2014-09-08,92.66,93.49,93.62,91.8,277.99K,-0.68%
2014-09-05,93.29,94.57,94.99,92.86,261.39K,-1.23%
2014-09-04,94.45,95.07,95.39,94.16,254.14K,-1.14%
2014-09-03,95.54,93.28,95.83,93.06,294.40K,2.86%
2014-09-02,92.88,95.81,95.91,92.68,320.36K,-3.08%
2014-09-01,95.83,95.76,95.9,95.51,-,-0.14%
2014-08-29,95.96,94.56,96,94.48,234.97K,1.49%
2014-08-28,94.55,93.75,94.71,93.45,262.29K,0.71%
2014-08-27,93.88,93.88,94.24,93.36,174.91K,0.02%
2014-08-26,93.86,93.36,94.35,93.35,176.28K,0.55%
2014-08-25,93.35,93.34,93.95,93.05,137.42K,-0.32%
2014-08-22,93.65,93.89,94.04,92.92,191.46K,-0.33%
2014-08-21,93.96,93.49,94.45,92.5,226.34K,-2.20%
2014-08-20,96.07,94.7,96.47,94.7,22.89K,1.68%
2014-08-19,94.48,96.56,97.05,94.26,109.04K,-2.00%
2014-08-18,96.41,97.1,97.16,95.81,157.54K,-0.97%
2014-08-15,97.35,95.5,97.41,95.32,269.75K,1.85%
2014-08-14,95.58,97.3,97.59,95.26,350.62K,-2.06%
2014-08-13,97.59,97.2,97.78,96.75,253.70K,0.23%
2014-08-12,97.37,97.84,97.94,96.81,242.59K,-0.72%
2014-08-11,98.08,97.54,98.58,97.37,241.49K,0.44%
2014-08-08,97.65,97.64,98.45,97.15,266.01K,0.32%
2014-08-07,97.34,96.89,97.72,96.55,286.53K,0.43%
2014-08-06,96.92,97.62,98.13,96.69,263.60K,-0.47%
2014-08-05,97.38,98.41,98.67,97,242.24K,-0.93%
2014-08-04,98.29,97.67,98.67,97.43,204.26K,0.42%
2014-08-01,97.88,97.7,98.1,97.09,274.99K,-0.30%
2014-07-31,98.17,99.47,99.85,97.6,335.79K,-2.09%
2014-07-30,100.27,101.03,101.67,99.42,263.97K,-0.69%
2014-07-29,100.97,101.6,101.83,100.37,258.06K,-0.69%
2014-07-28,101.67,101.87,102.1,100.9,197.82K,-0.41%
2014-07-25,102.09,102.04,102.53,101,284.92K,0.02%
2014-07-24,102.07,103.2,103.31,101.88,194.40K,-1.02%
2014-07-23,103.12,101.96,103.34,101.79,260.65K,-1.24%
2014-07-22,104.42,104.58,105.25,103.89,43.19K,-0.16%
2014-07-21,104.59,102.97,104.99,102.65,126.99K,1.42%
2014-07-18,103.13,103.72,103.94,102.58,172.53K,-0.06%
2014-07-17,103.19,101.49,103.9,101.27,342.87K,1.97%
2014-07-16,101.2,100.21,101.6,100.07,240.20K,1.24%
2014-07-15,99.96,100.93,101.06,99.01,331.20K,-0.94%
2014-07-14,100.91,100.46,101.2,100.22,252.68K,0.08%
2014-07-11,100.83,102.86,102.92,100.44,272.55K,-2.04%
2014-07-10,102.93,101.95,103,101.55,238.08K,0.63%
2014-07-09,102.29,103.45,103.6,101.85,250.99K,-1.07%
2014-07-08,103.4,103.39,104.2,103.01,249.38K,-0.13%
2014-07-07,103.53,104.06,104.09,103.19,189.25K,-0.22%
2014-07-04,103.76,104.11,104.12,103.64,-,-0.29%
2014-07-03,104.06,104.27,104.29,103.67,169.94K,-0.40%
2014-07-02,104.48,105.21,105.53,104.1,240.07K,-0.82%
2014-07-01,105.34,105.44,106.09,104.6,221.69K,-0.03%
2014-06-30,105.37,105.69,105.76,104.66,215.33K,-0.35%
2014-06-27,105.74,105.64,106.19,105.33,128.98K,-0.09%
2014-06-26,105.84,106.71,106.81,105.03,195.72K,-0.62%
2014-06-25,106.5,106.14,107.5,105.47,249.06K,0.44%
2014-06-24,106.03,106.02,106.46,105.25,175.21K,-0.13%
2014-06-23,106.17,107.42,107.45,105.91,175.47K,-1.02%
2014-06-20,107.26,106.6,107.73,106.33,31.67K,0.78%
2014-06-19,106.43,106.11,106.7,105.32,123.12K,0.43%
2014-06-18,105.97,106.6,106.97,105.8,176.26K,-0.37%
2014-06-17,106.36,106.59,107.18,106.01,252.97K,-0.51%
2014-06-16,106.9,106.88,107.54,106.57,204.79K,-0.01%
2014-06-13,106.91,106.84,107.68,106.37,255.39K,0.36%
2014-06-12,106.53,104.47,106.95,104.35,321.50K,2.04%
2014-06-11,104.4,104.3,104.81,104.17,187.73K,0.05%
2014-06-10,104.35,104.46,105.06,103.98,255.60K,-0.06%
2014-06-09,104.41,102.78,104.57,102.62,246.72K,1.70%
2014-06-06,102.66,102.44,103.07,102.3,197.76K,0.18%
2014-06-05,102.48,102.37,102.69,101.6,200.40K,-0.16%
2014-06-04,102.64,102.79,103.69,102.34,208.54K,-0.02%
2014-06-03,102.66,102.44,102.86,102.23,160.21K,0.19%
2014-06-02,102.47,102.92,103.35,102.1,159.04K,-0.23%
2014-05-30,102.71,103.51,103.56,102.4,169.73K,-0.84%
2014-05-29,103.58,103.06,103.94,102.61,205.51K,0.84%
